CMT1-results	1
candidate_durability=D1 ordinary writes, no fsync, no crash-survival claim
engine_durability=D1 ordinary writes, no fsync, no crash-survival claim
engine=D1 ordinary writes, no fsync, no crash-survival claim
valid=true
legacy_internal_stages=unavailable through public adapter; no isolated append/replay/row/column timing
quantiles=nearest-rank; warmup excluded; raw samples in results.cmt and trials.csv
stage,count,min,p50,p90,p95,p99,max
aggregate,115,296400,316800,377100,395600,460500,468300
append,5,601441800,628229400,794450400,794450400,794450400,794450400
columns,5,263670500,270866900,287567200,287567200,287567200,287567200
delete,100000,4200,5000,8000,9000,11400,114100
equal,115,3163000,3454300,4438600,4508000,4633000,4739000
get,115,500,1200,2500,2900,4100,4300
guard,200000,0,21100,103400,123200,178300,38377400
insert,150000,20100,76300,117400,142800,186800,7078900
page,230,616300,713300,962400,999600,1044000,1096400
replace,100000,20400,77400,122600,151700,192800,5165100
replay,5,7823908100,8045477300,8734869800,8734869800,8734869800,8734869800
rows,5,144446200,148947900,155413200,155413200,155413200,155413200
update,100000,21400,79900,126700,155600,197100,6011300
