CMT1-results	1
candidate_durability=D1 ordinary writes, no fsync, no crash-survival claim
engine_durability=D1 ordinary writes, no fsync, no crash-survival claim
engine=candidate RF1 full after-image; IntegrityProfile::Structural; rev=54bd1a479b1e38cda6a15955de6eef3ec1b54cd0
valid=true
legacy_internal_stages=unavailable through public adapter; no isolated append/replay/decode/row/column timing
quantiles=nearest-rank; warmup excluded; raw samples in results.cmt and trials.csv
stage,count,min,p50,p90,p95,p99,max
aggregate,25,14300,21300,27400,29600,29900,29900
append,5,59785100,61086000,74308900,74308900,74308900,74308900
columns,5,19172300,19395800,20264600,20264600,20264600,20264600
decode,5,868815500,878395000,895611600,895611600,895611600,895611600
delete,10000,4200,4800,5400,5700,7100,48300
equal,25,154200,188200,211500,212900,221600,221600
get,25,600,1600,2100,2500,2900,2900
guard,30000,0,52400,99500,107100,123600,2673300
insert,15000,21200,70400,103800,110300,128000,2815800
page,50,26900,49700,60500,65500,77900,77900
replace,10000,20800,72700,104400,111400,130400,1020800
replay,5,56323000,57526500,58794600,58794600,58794600,58794600
rows,5,14285600,14504500,15616500,15616500,15616500,15616500
update,10000,21500,72400,105300,112600,128000,718800
