phase,index,stage,ns,store_logical_bytes,peak_rss,valid
warmup,0,aggregate,126200,33870094,"191340544",true
warmup,0,append,78836200,33870094,"191340544",true
warmup,0,columns,19376000,33870094,"191340544",true
warmup,0,complete_operations,844855900,33870094,"191340544",true
warmup,0,decode,880845600,33870094,"191340544",true
warmup,0,delete,10377000,33870094,"191340544",true
warmup,0,equal,1021600,33870094,"191340544",true
warmup,0,get,6600,33870094,"191340544",true
warmup,0,guard,302172200,33870094,"191340544",true
warmup,0,insert,225539900,33870094,"191340544",true
warmup,0,page,489700,33870094,"191340544",true
warmup,0,replace,152169800,33870094,"191340544",true
warmup,0,replay,47107200,33870094,"191340544",true
warmup,0,rows,14682200,33870094,"191340544",true
warmup,0,setup,549200,33870094,"191340544",true
warmup,0,update,152952900,33870094,"191340544",true
measured,1,aggregate,116400,33870094,"192368640",true
measured,1,append,60935200,33870094,"192368640",true
measured,1,columns,19254800,33870094,"192368640",true
measured,1,complete_operations,809504800,33870094,"192368640",true
measured,1,decode,878395000,33870094,"192368640",true
measured,1,delete,9903500,33870094,"192368640",true
measured,1,equal,916600,33870094,"192368640",true
measured,1,get,6200,33870094,"192368640",true
measured,1,guard,290113600,33870094,"192368640",true
measured,1,insert,214719900,33870094,"192368640",true
measured,1,page,465100,33870094,"192368640",true
measured,1,replace,146450700,33870094,"192368640",true
measured,1,replay,57675900,33870094,"192368640",true
measured,1,rows,15616500,33870094,"192368640",true
measured,1,setup,1166400,33870094,"192368640",true
measured,1,update,146812800,33870094,"192368640",true
measured,2,aggregate,108400,33870094,"193171456",true
measured,2,append,59785100,33870094,"193171456",true
measured,2,columns,19395800,33870094,"193171456",true
measured,2,complete_operations,818479500,33870094,"193171456",true
measured,2,decode,878470800,33870094,"193171456",true
measured,2,delete,10110800,33870094,"193171456",true
measured,2,equal,929900,33870094,"193171456",true
measured,2,get,7000,33870094,"193171456",true
measured,2,guard,293367300,33870094,"193171456",true
measured,2,insert,219963300,33870094,"193171456",true
measured,2,page,452400,33870094,"193171456",true
measured,2,replace,146206700,33870094,"193171456",true
measured,2,replay,57526500,33870094,"193171456",true
measured,2,rows,14504500,33870094,"193171456",true
measured,2,setup,587900,33870094,"193171456",true
measured,2,update,147333700,33870094,"193171456",true
measured,3,aggregate,114500,33870094,"193634304",true
measured,3,append,74308900,33870094,"193634304",true
measured,3,columns,19451500,33870094,"193634304",true
measured,3,complete_operations,817368000,33870094,"193634304",true
measured,3,decode,895611600,33870094,"193634304",true
measured,3,delete,9812800,33870094,"193634304",true
measured,3,equal,1013200,33870094,"193634304",true
measured,3,get,9300,33870094,"193634304",true
measured,3,guard,296356600,33870094,"193634304",true
measured,3,insert,217252300,33870094,"193634304",true
measured,3,page,475100,33870094,"193634304",true
measured,3,replace,146045700,33870094,"193634304",true
measured,3,replay,56323000,33870094,"193634304",true
measured,3,rows,14302000,33870094,"193634304",true
measured,3,setup,661000,33870094,"193634304",true
measured,3,update,146288500,33870094,"193634304",true
measured,4,aggregate,117800,33870094,"194314240",true
measured,4,append,61890300,33870094,"194314240",true
measured,4,columns,20264600,33870094,"194314240",true
measured,4,complete_operations,812363800,33870094,"194314240",true
measured,4,decode,876377100,33870094,"194314240",true
measured,4,delete,10138000,33870094,"194314240",true
measured,4,equal,972400,33870094,"194314240",true
measured,4,get,7000,33870094,"194314240",true
measured,4,guard,291132600,33870094,"194314240",true
measured,4,insert,216308300,33870094,"194314240",true
measured,4,page,472800,33870094,"194314240",true
measured,4,replace,146460800,33870094,"194314240",true
measured,4,replay,57108500,33870094,"194314240",true
measured,4,rows,14548900,33870094,"194314240",true
measured,4,setup,728200,33870094,"194314240",true
measured,4,update,146754100,33870094,"194314240",true
measured,5,aggregate,101900,33870094,"194404352",true
measured,5,append,61086000,33870094,"194404352",true
measured,5,columns,19172300,33870094,"194404352",true
measured,5,complete_operations,809008100,33870094,"194404352",true
measured,5,decode,868815500,33870094,"194404352",true
measured,5,delete,10082600,33870094,"194404352",true
measured,5,equal,884200,33870094,"194404352",true
measured,5,get,6200,33870094,"194404352",true
measured,5,guard,290746800,33870094,"194404352",true
measured,5,insert,214963700,33870094,"194404352",true
measured,5,page,443900,33870094,"194404352",true
measured,5,replace,145776700,33870094,"194404352",true
measured,5,replay,58794600,33870094,"194404352",true
measured,5,rows,14285600,33870094,"194404352",true
measured,5,setup,684900,33870094,"194404352",true
measured,5,update,146002100,33870094,"194404352",true
