phase,index,stage,ns,store_logical_bytes,peak_rss,valid
warmup,0,aggregate,119800,14551236,"131624960",true
warmup,0,complete_operations,35679793100,14551236,"131624960",true
warmup,0,delete,6483762000,14551236,"131624960",true
warmup,0,equal,1948500,14551236,"131624960",true
warmup,0,get,100900,14551236,"131624960",true
warmup,0,guard,13139307500,14551236,"131624960",true
warmup,0,insert,9492611200,14551236,"131624960",true
warmup,0,page,114800,14551236,"131624960",true
warmup,0,replace,6551943900,14551236,"131624960",true
warmup,0,setup,10081700,14551236,"131624960",true
warmup,0,update,9884500,14551236,"131624960",true
measured,1,aggregate,90700,14551236,"131624960",true
measured,1,complete_operations,35458003700,14551236,"131624960",true
measured,1,delete,6446275600,14551236,"131624960",true
measured,1,equal,1603000,14551236,"131624960",true
measured,1,get,55900,14551236,"131624960",true
measured,1,guard,12996432600,14551236,"131624960",true
measured,1,insert,9496674900,14551236,"131624960",true
measured,1,page,88700,14551236,"131624960",true
measured,1,replace,6506350300,14551236,"131624960",true
measured,1,setup,9484600,14551236,"131624960",true
measured,1,update,10432000,14551236,"131624960",true
measured,2,aggregate,89300,14551236,"131624960",true
measured,2,complete_operations,42235867800,14551236,"131624960",true
measured,2,delete,7743614900,14551236,"131624960",true
measured,2,equal,1532000,14551236,"131624960",true
measured,2,get,76100,14551236,"131624960",true
measured,2,guard,15645808100,14551236,"131624960",true
measured,2,insert,10997665000,14551236,"131624960",true
measured,2,page,97200,14551236,"131624960",true
measured,2,replace,7834654900,14551236,"131624960",true
measured,2,setup,10193000,14551236,"131624960",true
measured,2,update,12330300,14551236,"131624960",true
measured,3,aggregate,86600,14551236,"131624960",true
measured,3,complete_operations,39829466800,14551236,"131624960",true
measured,3,delete,7337036700,14551236,"131624960",true
measured,3,equal,1596900,14551236,"131624960",true
measured,3,get,50500,14551236,"131624960",true
measured,3,guard,14777583900,14551236,"131624960",true
measured,3,insert,10346317100,14551236,"131624960",true
measured,3,page,87900,14551236,"131624960",true
measured,3,replace,7355727900,14551236,"131624960",true
measured,3,setup,10501900,14551236,"131624960",true
measured,3,update,10979300,14551236,"131624960",true
measured,4,aggregate,85100,14551236,"131624960",true
measured,4,complete_operations,41316202800,14551236,"131624960",true
measured,4,delete,7612476900,14551236,"131624960",true
measured,4,equal,1600000,14551236,"131624960",true
measured,4,get,65700,14551236,"131624960",true
measured,4,guard,15340131700,14551236,"131624960",true
measured,4,insert,10661462300,14551236,"131624960",true
measured,4,page,88600,14551236,"131624960",true
measured,4,replace,7688973900,14551236,"131624960",true
measured,4,setup,10824000,14551236,"131624960",true
measured,4,update,11318600,14551236,"131624960",true
measured,5,aggregate,83800,14551236,"131624960",true
measured,5,complete_operations,41733179700,14551236,"131624960",true
measured,5,delete,7712161800,14551236,"131624960",true
measured,5,equal,1602800,14551236,"131624960",true
measured,5,get,59100,14551236,"131624960",true
measured,5,guard,15456886100,14551236,"131624960",true
measured,5,insert,10811024600,14551236,"131624960",true
measured,5,page,85200,14551236,"131624960",true
measured,5,replace,7739871900,14551236,"131624960",true
measured,5,setup,10103800,14551236,"131624960",true
measured,5,update,11404400,14551236,"131624960",true
