CMT1-results	1
candidate_durability=D1 ordinary writes, no fsync, no crash-survival claim
engine_durability=unified D2 per-transaction sync (R5 placements); tested failure model: injected process termination and torn tails; platform durability contract evidence-pending; no OS-crash or power-loss claim
engine=unified D2 per-transaction sync (R5 placements); tested failure model: injected process termination and torn tails; platform durability contract evidence-pending; no OS-crash or power-loss claim; rev=e62fa699d3b264c0717428f86c0d11936ac3688a
valid=true
legacy_internal_stages=unavailable through public adapter; no isolated append/replay/decode/row/column timing
quantiles=nearest-rank; warmup excluded; raw samples in results.cmt and trials.csv
stage,count,min,p50,p90,p95,p99,max
aggregate,115,441500,470700,509200,553000,737600,799800
append,5,392424327900,395975184900,405330190000,405330190000,405330190000,405330190000
checkpoint,5,4849245200,5006124900,5258802400,5258802400,5258802400,5258802400
columns,5,296589000,298302200,353117300,353117300,353117300,353117300
decode,5,7317455200,7522554800,8286459300,8286459300,8286459300,8286459300
delete,100000,2992400,3311200,3711200,4017100,5161400,135558500
equal,115,21394800,27202000,29286600,32447900,36578200,39263400
get,115,900,1800,3500,3800,6000,6400
guard,300000,200,3423400,3869300,4143100,5143100,140165200
insert,150000,2782300,3531000,3955100,4233900,5289300,135899600
open_from_checkpoint,5,40304135800,41668944700,46240644000,46240644000,46240644000,46240644000
page,230,25777000,32239300,36024000,39087400,47227900,58542100
replace,100000,3080800,3607400,4041700,4365300,5647000,133116800
replay,5,32395903500,34773378800,40990309800,40990309800,40990309800,40990309800
rows,5,183650100,185700000,222401800,222401800,222401800,222401800
update,100000,2994800,3321300,3734100,4051400,5194200,149468800
