CMT1-results	1
candidate_durability=D1 ordinary writes, no fsync, no crash-survival claim
engine_durability=unified D1 ordinary writes, no sync, no crash-survival claim
engine=unified D1 ordinary writes, no sync, no crash-survival claim; rev=e62fa699d3b264c0717428f86c0d11936ac3688a
valid=true
legacy_internal_stages=unavailable through public adapter; no isolated append/replay/decode/row/column timing
quantiles=nearest-rank; warmup excluded; raw samples in results.cmt and trials.csv
stage,count,min,p50,p90,p95,p99,max
aggregate,25,40500,53100,101000,101600,143000,143000
append,5,499892400,514458500,673321600,673321600,673321600,673321600
checkpoint,5,534415400,553568500,574829100,574829100,574829100,574829100
columns,5,20280700,24356100,40522600,40522600,40522600,40522600
decode,5,758548600,803389300,1009871800,1009871800,1009871800,1009871800
delete,10000,42900,49900,67900,84400,119700,771800
equal,25,1417200,1851800,2441400,2657100,3042300,3042300
get,25,600,1700,2900,3200,5300,5300
guard,30000,100,216000,388900,438000,597700,44217200
insert,15000,96100,274500,407600,456200,619000,10319800
open_from_checkpoint,5,1760475100,1799107200,1924168300,1924168300,1924168300,1924168300
page,50,1204700,1903000,3598500,4345300,5022100,5022100
replace,10000,100600,284800,414800,466800,640200,1891900
replay,5,831847300,910474400,964698700,964698700,964698700,964698700
rows,5,16977700,18868300,23025300,23025300,23025300,23025300
update,10000,46500,55400,76600,93500,127300,678800
