phase,index,stage,ns,store_logical_bytes,peak_rss,valid
warmup,0,aggregate,353800,119160295,"584417280",true
warmup,0,append,39237352200,119160295,"584417280",true
warmup,0,checkpoint,522309300,119160295,"584417280",true
warmup,0,columns,23915900,119160295,"584417280",true
warmup,0,complete_operations,42304237300,119160295,"584417280",true
warmup,0,decode,783174000,119160295,"584417280",true
warmup,0,delete,6114795000,119160295,"584417280",true
warmup,0,equal,11054400,119160295,"584417280",true
warmup,0,get,15000,119160295,"584417280",true
warmup,0,guard,13324802900,119160295,"584417280",true
warmup,0,insert,10014296700,119160295,"584417280",true
warmup,0,open_from_checkpoint,1701091200,119160295,"584417280",true
warmup,0,page,15276300,119160295,"584417280",true
warmup,0,replace,6684165300,119160295,"584417280",true
warmup,0,replay,1010290600,119160295,"584417280",true
warmup,0,rows,15981700,119160295,"584417280",true
warmup,0,setup,2479200,119160295,"584417280",true
warmup,0,update,6139477900,119160295,"584417280",true
measured,1,aggregate,269000,119160295,"587317248",true
measured,1,append,39727831900,119160295,"587317248",true
measured,1,checkpoint,524222300,119160295,"587317248",true
measured,1,columns,28805700,119160295,"587317248",true
measured,1,complete_operations,42851530900,119160295,"587317248",true
measured,1,decode,894423900,119160295,"587317248",true
measured,1,delete,6231555200,119160295,"587317248",true
measured,1,equal,10420300,119160295,"587317248",true
measured,1,get,16100,119160295,"587317248",true
measured,1,guard,13506024600,119160295,"587317248",true
measured,1,insert,10078052200,119160295,"587317248",true
measured,1,open_from_checkpoint,1837050700,119160295,"587317248",true
measured,1,page,16990300,119160295,"587317248",true
measured,1,replace,6775496400,119160295,"587317248",true
measured,1,replay,856757400,119160295,"587317248",true
measured,1,rows,23740000,119160295,"587317248",true
measured,1,setup,3504900,119160295,"587317248",true
measured,1,update,6232706800,119160295,"587317248",true
measured,2,aggregate,227500,119160295,"588447744",true
measured,2,append,40533087000,119160295,"588447744",true
measured,2,checkpoint,486489500,119160295,"588447744",true
measured,2,columns,21088100,119160295,"588447744",true
measured,2,complete_operations,43330022000,119160295,"588447744",true
measured,2,decode,734427800,119160295,"588447744",true
measured,2,delete,6293504500,119160295,"588447744",true
measured,2,equal,7096900,119160295,"588447744",true
measured,2,get,9500,119160295,"588447744",true
measured,2,guard,13627852200,119160295,"588447744",true
measured,2,insert,10317239900,119160295,"588447744",true
measured,2,open_from_checkpoint,1645398300,119160295,"588447744",true
measured,2,page,12272200,119160295,"588447744",true
measured,2,replace,6802011800,119160295,"588447744",true
measured,2,replay,786019200,119160295,"588447744",true
measured,2,rows,14695500,119160295,"588447744",true
measured,2,setup,3638200,119160295,"588447744",true
measured,2,update,6269807500,119160295,"588447744",true
measured,3,aggregate,206700,119160295,"588787712",true
measured,3,append,38606344600,119160295,"588787712",true
measured,3,checkpoint,507055200,119160295,"588787712",true
measured,3,columns,23598000,119160295,"588787712",true
measured,3,complete_operations,41372805100,119160295,"588787712",true
measured,3,decode,780939200,119160295,"588787712",true
measured,3,delete,6025719500,119160295,"588787712",true
measured,3,equal,7333600,119160295,"588787712",true
measured,3,get,13000,119160295,"588787712",true
measured,3,guard,13045673100,119160295,"588787712",true
measured,3,insert,9667295300,119160295,"588787712",true
measured,3,open_from_checkpoint,1710456000,119160295,"588787712",true
measured,3,page,15848600,119160295,"588787712",true
measured,3,replace,6553493700,119160295,"588787712",true
measured,3,replay,799017100,119160295,"588787712",true
measured,3,rows,18427200,119160295,"588787712",true
measured,3,setup,2213200,119160295,"588787712",true
measured,3,update,6057221600,119160295,"588787712",true
measured,4,aggregate,296400,119160295,"589369344",true
measured,4,append,39131124500,119160295,"589369344",true
measured,4,checkpoint,514741200,119160295,"589369344",true
measured,4,columns,23939600,119160295,"589369344",true
measured,4,complete_operations,41994236300,119160295,"589369344",true
measured,4,decode,765705100,119160295,"589369344",true
measured,4,delete,6088873800,119160295,"589369344",true
measured,4,equal,8519300,119160295,"589369344",true
measured,4,get,16700,119160295,"589369344",true
measured,4,guard,13240125400,119160295,"589369344",true
measured,4,insert,9930510100,119160295,"589369344",true
measured,4,open_from_checkpoint,1766167100,119160295,"589369344",true
measured,4,page,14282800,119160295,"589369344",true
measured,4,replace,6630463700,119160295,"589369344",true
measured,4,replay,828730300,119160295,"589369344",true
measured,4,rows,17954700,119160295,"589369344",true
measured,4,setup,3736200,119160295,"589369344",true
measured,4,update,6081148100,119160295,"589369344",true
measured,5,aggregate,242600,119160295,"590680064",true
measured,5,append,39478778300,119160295,"590680064",true
measured,5,checkpoint,556051500,119160295,"590680064",true
measured,5,columns,24645100,119160295,"590680064",true
measured,5,complete_operations,42394330300,119160295,"590680064",true
measured,5,decode,782970600,119160295,"590680064",true
measured,5,delete,6154626000,119160295,"590680064",true
measured,5,equal,8204200,119160295,"590680064",true
measured,5,get,13700,119160295,"590680064",true
measured,5,guard,13272654000,119160295,"590680064",true
measured,5,insert,10108088600,119160295,"590680064",true
measured,5,open_from_checkpoint,1788558500,119160295,"590680064",true
measured,5,page,14903700,119160295,"590680064",true
measured,5,replace,6707220300,119160295,"590680064",true
measured,5,replay,846588300,119160295,"590680064",true
measured,5,rows,17431100,119160295,"590680064",true
measured,5,setup,3171500,119160295,"590680064",true
measured,5,update,6128377200,119160295,"590680064",true
