event_count,trial_kind,trial_index,payload_bytes,physical_bytes,encode_ns,append_ns,replay_ns,row_rebuild_ns,column_rebuild_ns,direct_row_ns,direct_column_ns,encode_events_s,append_events_s,replay_events_s,row_rebuild_events_s,column_rebuild_events_s,direct_row_events_s,direct_column_events_s,correctness
100,warmup,0,2800,10000,187919,155745,312060,5302,10588,2413,4223,532144.168,642075.187,320451.195,18860807.243,9444654.326,41442188.148,23679848.449,true
100,measured,1,2800,10000,62417,116548,149099,4295,7092,1844,3632,1602127.625,858015.582,670695.310,23282887.078,14100394.811,54229934.924,27533039.648,true
100,measured,2,2800,10000,34480,95434,1341462,5266,8373,2032,4321,2900232.019,1047844.584,74545.533,18989745.537,11943150.603,49212598.425,23142791.021,true
100,measured,3,2800,10000,35580,165418,108478,4310,7020,1730,3711,2810567.735,604529.132,921845.904,23201856.148,14245014.245,57803468.208,26946914.578,true
100,measured,4,2800,10000,34765,100438,129911,3699,7059,1717,3538,2876456.206,995639.101,769757.757,27034333.604,14166312.509,58241118.229,28264556.246,true
100,measured,5,2800,10000,34262,196707,117299,4353,7289,1866,3838,2918685.424,508370.317,852522.187,22972662.532,13719303.059,53590568.060,26055237.103,true
1000,warmup,0,28000,100000,573555,672375,8050884,31622,28715,11982,13232,1743511.956,1487265.291,124209.963,31623553.222,34825004.353,83458521.115,75574365.175,true
1000,measured,1,28000,100000,316971,738829,6248823,26684,29119,11985,40815,3154862.748,1353493.163,160030.137,37475640.833,34341838.662,83437630.371,24500796.276,true
1000,measured,2,28000,100000,317219,732414,7857111,65238,38495,12382,12837,3152396.294,1365348.014,127273.243,15328489.531,25977399.662,80762397.028,77899820.830,true
1000,measured,3,28000,100000,1660826,843096,8389986,28707,29748,11837,13339,602110.034,1186104.548,119189.710,34834709.304,33615705.257,84480865.084,74968138.541,true
1000,measured,4,28000,100000,318599,751627,6953200,29967,29313,11973,13245,3138741.804,1330447.150,143818.673,33370040.378,34114556.681,83521256.160,75500188.750,true
1000,measured,5,28000,100000,345163,791175,6568033,27266,28397,11858,13245,2897181.911,1263942.870,152252.585,36675713.343,35214987.499,84331253.162,75500188.750,true
10000,warmup,0,280000,1000000,6380630,6859353,601037843,1798197,255320,108850,102517,1567243.360,1457863.446,16637.887,5561125.950,39166536.112,91869545.246,97544797.448,true
10000,measured,1,280000,1000000,3508448,11875935,589000460,309884,256705,110789,121492,2850263.136,842038.964,16977.915,32270139.794,38955220.973,90261668.577,82309946.334,true
10000,measured,2,280000,1000000,3231602,6933429,560406563,477924,290740,110869,101147,3094440.466,1442287.792,17844.188,20923828.893,34394992.089,90196538.257,98866006.901,true
10000,measured,3,280000,1000000,3262352,6876955,535743196,285952,253555,133390,101650,3065273.153,1454131.952,18665.659,34970904.208,39439174.932,74968138.541,98376783.079,true
10000,measured,4,280000,1000000,3216913,7200203,547478309,387297,279586,110929,101165,3108570.235,1388849.731,18265.564,25819977.950,35767170.030,90147752.166,98848415.954,true
10000,measured,5,280000,1000000,3493552,6918958,529186476,372203,314708,109766,101849,2862416.246,1445304.336,18896.930,26867059.105,31775487.118,91102891.606,98184567.350,true
