event_count,trial_kind,trial_index,payload_bytes,physical_bytes,encode_ns,append_ns,replay_ns,row_rebuild_ns,column_rebuild_ns,direct_row_ns,direct_column_ns,encode_events_s,append_events_s,replay_events_s,row_rebuild_events_s,column_rebuild_events_s,direct_row_events_s,direct_column_events_s,correctness
100,warmup,0,2800,10000,123179,132080,306754,5396,4497,1670,2120,811826.691,757116.899,325994.119,18532246.108,22237046.920,59880239.521,47169811.321,true
100,measured,1,2800,10000,36037,93280,139331,5487,5442,2513,2970,2774925.771,1072041.166,717715.368,18224895.207,18375597.207,39793076.005,33670033.670,true
100,measured,2,2800,10000,35439,116710,92736,3446,3587,1460,1798,2821750.049,856824.608,1078329.883,29019152.641,27878449.958,68493150.685,55617352.614,true
100,measured,3,2800,10000,31994,218306,86899,3461,3705,1480,1836,3125586.047,458072.614,1150761.229,28893383.415,26990553.306,67567567.568,54466230.937,true
100,measured,4,2800,10000,32266,98000,102433,3249,3507,1435,1727,3099237.588,1020408.163,976247.889,30778701.139,28514399.772,69686411.150,57903879.560,true
100,measured,5,2800,10000,31635,87650,65014,3536,3603,1452,1676,3161055.793,1140901.312,1538130.249,28280542.986,27754648.904,68870523.416,59665871.122,true
1000,warmup,0,28000,100000,569173,669663,7417205,30371,26597,10643,10461,1756935.062,1493288.415,134821.675,32926146.653,37598225.364,93958470.356,95593155.530,true
1000,measured,1,28000,100000,330104,760609,5948060,27251,25960,10637,10354,3029348.327,1314735.955,168122.043,36695901.068,38520801.233,94011469.399,96581031.485,true
1000,measured,2,28000,100000,283312,766151,5306923,26718,25815,10575,10398,3529677.529,1305225.732,188433.109,37427951.194,38737168.313,94562647.754,96172340.835,true
1000,measured,3,28000,100000,324388,714294,4988092,26542,26017,10448,10513,3082728.091,1399983.760,200477.457,37676135.935,38436406.965,95712098.009,95120327.214,true
1000,measured,4,28000,100000,284747,730025,5798371,51313,26911,10474,10395,3511889.502,1369816.102,172462.231,19488238.848,37159525.844,95474508.306,96200096.200,true
1000,measured,5,28000,100000,282562,843221,5525902,26330,26875,10446,10521,3539046.298,1185928.719,180965.931,37979491.075,37209302.326,95730423.128,95047999.240,true
10000,warmup,0,280000,1000000,5551422,7148567,476395950,1570601,258864,121685,97281,1801340.269,1398881.762,20990.943,6366989.452,38630323.259,82179397.625,102794995.940,true
10000,measured,1,280000,1000000,4101595,6512125,486391302,311475,260377,100658,97038,2438075.919,1535597.059,20559.578,32105305.402,38405849.979,99346301.337,103052412.457,true
10000,measured,2,280000,1000000,3111635,6656591,442619612,290552,257344,124650,97320,3213744.543,1502270.456,22592.763,34417247.171,38858492.912,80224628.961,102753801.891,true
10000,measured,3,280000,1000000,2985360,6742541,448976097,302722,281823,139167,97418,3349679.771,1483120.384,22272.901,33033608.393,35483264.318,71856115.315,102650434.211,true
10000,measured,4,280000,1000000,3161290,6677593,459493400,327401,260310,101458,117081,3163265.629,1497545.598,21763.098,30543584.167,38415735.085,98562952.158,85410954.809,true
10000,measured,5,280000,1000000,3276423,7655897,497127411,492855,304794,166419,97350,3052108.962,1306182.672,20115.568,20289943.290,32809044.797,60089292.689,102722136.620,true
